Culture,Saison,Mois_Debut,Mois_Fin,Jour,Temperature_Air_°C,Temperature_Sol_°C,Humidite_Air_%,Humidite_Sol_%,Capteur_Humidite_Sol_ADC,Seuil_Sol_Sec_%,Seuil_Sol_Humide_%,Etat_Sol,Pompe_Active,Decision_Irrigation,Recommandation_Irrigation,Justification,Besoin_Eau_mm_jour,Duree_Pompage_min,Frequence_Irrigation_jour
Tomate,Hiver,12,2,1,10.6,7.7,84.6,75.0,1025,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 75.0% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,2,9.1,7.8,71.2,81.7,751,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 81.7% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,3,12.2,9.8,70.4,84.2,645,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 84.2% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,4,13.8,12.4,73.6,64.6,1450,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (64.6% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,5,10.1,8.1,78.6,67.3,1339,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (67.3% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,6,12.3,11.0,75.8,69.2,1262,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (69.2% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,7,11.2,8.6,74.0,72.9,1111,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 72.9% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,8,12.1,11.1,82.2,64.3,1463,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (64.3% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,9,8.5,5.6,89.3,80.2,810,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 80.2% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,10,10.1,8.9,83.7,71.0,1187,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 71.0% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,11,8.9,6.9,70.7,82.7,707,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 82.7% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,12,9.8,7.5,76.2,73.0,1105,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 73.0% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,13,11.8,10.5,89.4,79.4,844,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 79.4% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,14,14.6,11.8,82.0,83.0,694,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 83.0% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,15,8.6,7.2,70.9,68.1,1304,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (68.1% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,16,10.7,9.2,86.6,68.9,1272,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (68.9% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,17,10.0,7.9,72.8,80.1,816,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 80.1% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,18,8.5,5.5,85.4,65.0,1434,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (65.0% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,19,8.0,5.4,84.1,78.2,891,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 78.2% ≤ 85%) - Pas d'irrigation,3.5,15,3
